Number of reviews with rating star 1.0 :  2306

Number of reviews with rating star 2.0 :  1372

Number of reviews with rating star 3.0 :  1904

Number of reviews with rating star 4.0 :  3559

Number of reviews with rating star 5.0 :  6159

3.0 rating review # 1900 , time lapsed: 2751.6217205524445

Done rating 3.0 , 1904 reviews, time lapsed: 2752.721779346466

5.0 rating review # 3400 , time lapsed: 2762.698138475418

4.0 rating review # 2400 , time lapsed: 2803.554865837097

1.0 rating review # 1500 , time lapsed: 2815.7702391147614

5.0 rating review # 3500 , time lapsed: 2862.786175966263

4.0 rating review # 2500 , time lapsed: 2915.535139799118

5.0 rating review # 3600 , time lapsed: 2928.146422147751

1.0 rating review # 1600 , time lapsed: 2937.0107214450836

5.0 rating review # 3700 , time lapsed: 2964.229945421219

5.0 rating review # 3800 , time lapsed: 2998.825816631317

4.0 rating review # 2600 , time lapsed: 3023.1536314487457

1.0 rating review # 1700 , time lapsed: 3035.024892807007

5.0 rating review # 3900 , time lapsed: 3062.157348394394

4.0 rating review # 2700 , time lapsed: 3104.114140510559

5.0 rating review # 4000 , time lapsed: 3129.5341761112213

1.0 rating review # 1800 , time lapsed: 3166.7826266288757

4.0 rating review # 2800 , time lapsed: 3166.8723516464233

5.0 rating review # 4100 , time lapsed: 3199.1287381649017

5.0 rating review # 4200 , time lapsed: 3261.8181257247925

4.0 rating review # 2900 , time lapsed: 3278.658582687378

1.0 rating review # 1900 , time lapsed: 3305.9785385131836

5.0 rating review # 4300 , time lapsed: 3321.8082151412964

4.0 rating review # 3000 , time lapsed: 3353.7298967838287

5.0 rating review # 4400 , time lapsed: 3372.487713098526

5.0 rating review # 4500 , time lapsed: 3410.7474179267883

4.0 rating review # 3100 , time lapsed: 3427.6203536987305

5.0 rating review # 4600 , time lapsed: 3466.6010823249817

1.0 rating review # 2000 , time lapsed: 3512.992025613785

4.0 rating review # 3200 , time lapsed: 3526.9216372966766

5.0 rating review # 4700 , time lapsed: 3544.2074213027954

5.0 rating review # 4800 , time lapsed: 3613.8203315734863

4.0 rating review # 3300 , time lapsed: 3638.298880815506

1.0 rating review # 2100 , time lapsed: 3654.8885250091553

5.0 rating review # 4900 , time lapsed: 3681.9920268058777

4.0 rating review # 3400 , time lapsed: 3719.75608587265

5.0 rating review # 5000 , time lapsed: 3731.8776803016663

5.0 rating review # 5100 , time lapsed: 3775.811182498932

4.0 rating review # 3500 , time lapsed: 3820.4378623962402

1.0 rating review # 2200 , time lapsed: 3832.037211894989

5.0 rating review # 5200 , time lapsed: 3847.4780395030975

5.0 rating review # 5300 , time lapsed: 3891.1233649253845

Done rating 4.0 , 3559 reviews, time lapsed: 3892.6163527965546

5.0 rating review # 5400 , time lapsed: 3952.084228992462

5.0 rating review # 5500 , time lapsed: 4046.7650809288025

1.0 rating review # 2300 , time lapsed: 4081.0793347358704

5.0 rating review # 5600 , time lapsed: 4106.794620037079

Done rating 1.0 , 2306 reviews, time lapsed: 4116.282271385193

5.0 rating review # 5700 , time lapsed: 4139.319796562195

5.0 rating review # 5800 , time lapsed: 4178.658143997192

5.0 rating review # 5900 , time lapsed: 4258.475860118866

5.0 rating review # 6000 , time lapsed: 4323.053567647934

5.0 rating review # 6100 , time lapsed: 4378.958232879639

Done rating 5.0 , 6159 reviews, time lapsed: 4412.703056573868


1.0 star(s) top 10 most used adjectives: ['good' 'other' 'bad' 'first' 'new' 'last' 'horrible' 'few' 'same' 'next']
2.0 star(s) top 10 most used adjectives: ['good' 'other' 'great' 'bad' 'nice' 'first' 'much' 'little' 'few' 'small']
3.0 star(s) top 10 most used adjectives: ['good' 'other' 'great' 'nice' 'little' 'small' 'bad' 'few' 'decent' 'hot']
4.0 star(s) top 10 most used adjectives: ['good' 'great' 'nice' 'other' 'little' 'delicious' 'fresh' 'friendly'
 'small' 'first']
5.0 star(s) top 10 most used adjectives: ['great' 'good' 'friendly' 'delicious' 'nice' 'other' 'amazing' 'fresh'
 'first' 'new']

1.0 star(s) top 10 most indicative adjectives: ['horrible' 'terrible' 'bad' 'rude' 'poor' 'awful' 'last' 'unprofessional'
 'same' 'wrong']
2.0 star(s) top 10 most indicative adjectives: ['bad' 'same' 'dry' 'other' 'second' 'decent' 'chinese' 'slow' 'empty'
 'ok']
3.0 star(s) top 10 most indicative adjectives: ['good' 'decent' 'other' 'small' 'ok' 'little' 'average' 'bad' 'large'
 'fine']
4.0 star(s) top 10 most indicative adjectives: ['good' 'little' 'delicious' 'nice' 'tasty' 'small' 'fresh' 'great' 'busy'
 'large']
5.0 star(s) top 10 most indicative adjectives: ['great' 'delicious' 'happy' 'friendly' 'wonderful' 'excellent'
 'professional' 'helpful' 'fantastic' 'awesome']
Duration:  4483.13271188736
